trip_number,location,next_location,dropoff_series,dropoff_status,vehicle_plate_no,month,day
7300115700,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - AVENIDA RAON,1,Completed,NAZ 1308,11,16
7300115702,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - BLUEMENTRITT,1,Scheduled,TLK 864,11,16
7300115749,8173 BCFG DC Conso-Marilao,DMAYA PLUS ENTERPRISES - PANGASINAN,1,Scheduled,BVU 188,11,11
7300115752,8173 BCFG DC Conso-Marilao,KIMBERLIN ENTERPRISES - CAUAYAN,1,Scheduled,CAD1735,11,18
7300115755,8173 BCFG DC Conso-Marilao,KIMBERLIN ENTERPRISES - UGAC,1,Scheduled,BVW 312,11,18
7300115761,8173 BCFG DC Conso-Marilao,MAKOBOBI DISTRIBUTORS - GEN TINIO,1,Scheduled,MUT 5273,11,18
7300115764,8173 BCFG DC Conso-Marilao,LAOAG SOLID 8 - CANDON,1,Scheduled,AAT2621,11,11
7300115807,8110 BCFG Cavite,STRATEGIC DISTRIBUTORS INC.,1,Scheduled,UWB405,11,13
7300115833,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - EXTRA TANDANG,1,Scheduled,WMQ 125,11,14
7300115861,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - MINDANAO AVEN,1,Scheduled,WEA 621,11,14
7300115882,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - CAINTA JUNCTI,1,Scheduled,RMH 109,11,14
7300115883,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB-JR. CONCEPCION,1,Scheduled,UYB711,11,14
7300115888,8410 North Mega DC,LAOAG SOLID 8 - CANDON,1,Scheduled,AVL 847,11,14
7300115890,8174 BCFG DC Pinagbuhatan,PUREGOLD PRICE CLUB - TANDANG SORA,1,Scheduled,NAZ 1369,11,14
