log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
8100 BCFG San Pedro,NA,RKS 597,NA,2020-12-29T18:07:29Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8160 BCFG Binan,NA,NBO 9769,NA,2020-12-29T18:08:03Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8070 BCFG Calamba,NA,AUA1760,NA,2020-12-29T18:08:05Z,NA,NA,DHL,NA,NA
8174 BCFG DC Pinagbuhatan,NA,AWA 6250,NA,2020-12-29T18:09:22Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,ABK7856,ABK7856,2020-12-29T18:11:55Z,2021-01-05T07:00:22Z,7300246202,"DHL,Gods Favor",-6d -12H -48M -27S,-564507s (~-6.53 days)
8174 BCFG DC Pinagbuhatan,NA,AWA6083,NA,2020-12-29T18:13:00Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAZ 2904,NA,2020-12-29T18:13:17Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,NAK1897,NAK1897,2020-12-29T18:15:27Z,2020-12-21T02:00:00Z,7300225837,"DHL,Gods Favor",8d 16H 15M 27S,749727s (~1.24 weeks)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO6660,CCO6660,2020-12-29T18:15:44Z,2020-12-28T18:31:00Z,7300240574,"DHL,Gods Favor",23H 44M 44S,85484s (~23.75 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO6660,CCO6660,2020-12-29T18:15:44Z,2020-12-29T23:01:00Z,7300241619,"DHL,Gods Favor",-4H -45M -16S,-17116s (~-4.75 hours)
8174 BCFG DC Pinagbuhatan,NA,CAZ3535,NA,2020-12-29T18:15:56Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABJ9881,NA,2020-12-29T18:16:09Z,NA,NA,DHL,NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,NAK1897,NAK1897,2020-12-29T18:16:20Z,2020-12-21T02:00:00Z,7300225837,"DHL,Gods Favor",8d 16H 16M 20S,749780s (~1.24 weeks)
NA,NA,RBM 812,NA,2020-12-29T18:16:56Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8070 BCFG Calamba,NA,RBM 812,NA,2020-12-29T18:16:56Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8030 BCFG Bagong Ilog,NA,NCK6819,NA,2020-12-29T18:17:35Z,NA,NA,"DHL,Gods Favor",NA,NA
8160 BCFG Binan,NA,NBO 9769,NA,2020-12-29T18:19:30Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAZ 1682,NA,2020-12-29T18:20:09Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8180 BCFG San Pedro 2,NA,NLQ 761,NA,2020-12-29T18:20:45Z,NA,NA,"DHL,Goldmaine Logistics Service",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAS7915,NA,2020-12-29T18:20:49Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABK7856,NA,2020-12-29T18:20:54Z,NA,NA,"DHL,Gods Favor",NA,NA
8110 BCFG Cavite,NA,BVU153,NA,2020-12-29T18:21:13Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABJ 8456,NA,2020-12-29T18:21:52Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO6660,CCO6660,2020-12-29T18:27:39Z,2020-12-28T18:31:00Z,7300240574,"DHL,Gods Favor",23H 56M 39S,86199s (~23.94 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCO6660,CCO6660,2020-12-29T18:27:39Z,2020-12-29T23:01:00Z,7300241619,"DHL,Gods Favor",-4H -33M -21S,-16401s (~-4.56 hours)
8070 BCFG Calamba,8070 BCFG Calamba,NAK1897,NAK1897,2020-12-29T18:27:48Z,2020-12-21T02:00:00Z,7300225837,"DHL,Gods Favor",8d 16H 27M 48S,750468s (~1.24 weeks)
8030 BCFG Bagong Ilog,NA,ACK3487,NA,2020-12-29T18:28:05Z,NA,NA,"DHL,Gods Favor",NA,NA
PH Cabuyao FG UHT - Source,NA,NBI6069,NA,2020-12-29T18:29:12Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
IMC - Cabuyao Factory,NA,NBI6069,NA,2020-12-29T18:29:14Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8420 South Mega DC,8420 South Mega DC,ACJ0705,ACJ0705,2020-12-29T18:30:00Z,2020-12-26T11:46:00Z,7300235647,"ACJ Movers Trucking,DHL",3d 6H 44M 0S,283440s (~3.28 days)
8420 South Mega DC,8420 South Mega DC,ACJ0705,ACJ0705,2020-12-29T18:30:00Z,2021-01-04T01:16:00Z,7300243647,"ACJ Movers Trucking,DHL",-5d -6H -46M 0S,-456360s (~-5.28 days)
8420 South Mega DC,8420 South Mega DC,ACJ0705,ACJ0705,2020-12-29T18:30:00Z,2021-01-05T05:33:05Z,7300245000,"ACJ Movers Trucking,DHL",-6d -11H -3M -5S,-558185s (~-6.46 days)
8110 BCFG Cavite,NA,ABK7591,NA,2020-12-29T18:30:06Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,8420 South Mega DC,MPK 6574,MPK 6574,2020-12-29T18:30:14Z,2021-01-04T01:09:00Z,7300243589,"DHL,M.P. Kagaoan Ent. Inc.",-5d -6H -38M -46S,-455926s (~-5.28 days)
8420 South Mega DC,8420 South Mega DC,IRS6471,IRS6471,2020-12-29T18:30:23Z,2021-01-04T10:44:00Z,7300244942,"DHL,Iron Horse",-5d -16H -13M -37S,-490417s (~-5.68 days)
8060 BCFG Tarlac,NA,BVU245,NA,2020-12-29T18:30:37Z,NA,NA,"DHL,DMaya One Logistics",NA,NA
8070 BCFG Calamba,8070 BCFG Calamba,CCO 1930,CCO 1930,2020-12-29T18:33:50Z,2021-01-04T17:52:07Z,7300245084,"DHL,Express 23 Trucking",-5d -23H -18M -17S,-515897s (~-5.97 days)
PHILIPPINE SEVEN - PASIG,NA,AWA3755,NA,2020-12-29T18:34:25Z,NA,NA,"DHL,Horseshoe Logistics Corporation",NA,NA
8180 BCFG San Pedro 2,NA,AFA6975,NA,2020-12-29T18:34:26Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,NA,WQW260,NA,2020-12-29T18:35:26Z,NA,NA,"DHL,Gods Favor",NA,NA
8070 BCFG Calamba,NA,AUA6096,NA,2020-12-29T18:37:18Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8020 BCFG MCD,8020 BCFG MCD,CAT9068,CAT9068,2020-12-29T18:39:24Z,2021-01-04T05:00:00Z,7300244076,"DHL,MDP Trucking",-5d -10H -20M -36S,-469236s (~-5.43 days)
8330 BCFG GMA MEGA DC,NA,AUA9782,NA,2020-12-29T18:40:32Z,NA,NA,"DHL,SPC Trucking",NA,NA
8420 South Mega DC,NA,AWA2887,NA,2020-12-29T18:42:09Z,NA,NA,"DHL,Gods Favor",NA,NA
