plateno,geofence_name,first_timestamp,last_timestamp,time_duration_at_geofence,time_next
137707,PH Mandaue Grocery - Destination,2021-01-06 08:30:32,2021-01-06 09:59:55,5363s (~1.49 hours),-4329s (~-1.2 hours)
137707,PH Mandaue Grocery - Source,2021-01-06 08:47:46,2021-01-06 11:29:17,9691s (~2.69 hours),322334s (~3.73 days)
ABK4138,PH Cagayan Grocery - Destination,2021-01-06 13:00:31,2021-01-06 23:29:03,37712s (~10.48 hours),-37645s (~-10.46 hours)
ABK4138,PH Cagayan Grocery - Source,2021-01-06 13:01:38,2021-01-06 23:29:03,37645s (~10.46 hours),5744s (~1.6 hours)
130102,PH Tanauan - Destination,2021-01-06 14:15:36,2021-01-07 00:25:13,36577s (~10.16 hours),-36407s (~-10.11 hours)
130102,PH Tanauan - Source,2021-01-06 14:18:26,2021-01-07 00:25:13,36407s (~10.11 hours),17229s (~4.79 hours)
KAD4602,PH Cagayan Grocery - Destination,2021-01-06 16:08:11,2021-01-06 23:46:52,27521s (~7.64 hours),-27521s (~-7.64 hours)
KAD4602,PH Cagayan Grocery - Source,2021-01-06 16:08:11,2021-01-06 20:27:38,15567s (~4.32 hours),11640s (~3.23 hours)
KVU104,PH Cagayan Grocery - Destination,2021-01-06 16:22:49,2021-01-06 22:51:55,23346s (~6.48 hours),-23344s (~-6.48 hours)
KVU104,PH Cagayan Grocery - Source,2021-01-06 16:22:51,2021-01-06 22:51:39,23328s (~6.48 hours),4532s (~1.26 hours)
RJK963,PH Cagayan Grocery - Destination,2021-01-06 16:50:22,2021-01-06 21:15:44,15922s (~4.42 hours),-15834s (~-4.4 hours)
RJK963,PH Cagayan Grocery - Source,2021-01-06 16:51:50,2021-01-06 21:15:10,15800s (~4.39 hours),32674s (~9.08 hours)
ZF7663,PH Mandaue Grocery - Destination,2021-01-06 18:03:14,2021-01-06 19:28:36,5122s (~1.42 hours),-5122s (~-1.42 hours)
ZF7663,PH Mandaue Grocery - Source,2021-01-06 18:03:14,2021-01-06 19:28:36,5122s (~1.42 hours),230746s (~2.67 days)
KAD4602,PH Cagayan Grocery - Source,2021-01-06 23:41:38,2021-01-06 23:46:52,314s (~5.23 minutes),3414s (~56.9 minutes)
KAD4601,Suy Sing - Cagayan De Oro,2021-01-06 23:46:43,2021-01-07 01:09:48,4985s (~1.38 hours),47023s (~13.06 hours)
